candidate_key,entity_type,classification,matching_method,db_identity,precondition,reason
au-abs-32180ds0004-v1:AU:sua:4001,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1001,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2003,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2004,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3002,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:5003,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3003,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3004,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:8001,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1010,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1011,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:7002,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2008,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3006,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3007,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3009,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:6003,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:6004,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3011,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2011,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2012,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1025,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:5009,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1028,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3014,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:2016,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3015,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1031,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3016,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:3017,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1035,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-32180ds0004-v1:AU:sua:1036,city,INSERT,none,,parent region/country exists or is planned,New city in DB; parent planned_region_insert
au-abs-31010do002-v1:AU:country,country,NOOP,exact_country_code_match,AU,core.countries.code = 'AU' exists with default_currency='AUD',Country row already exists with matching currency
au-abs-31010do002-v1:AU:ste:8,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:1,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:7,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:9,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:3,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:4,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:6,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:2,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
au-abs-31010do002-v1:AU:ste:5,region,INSERT,none,,parent country 'AU' exists in DB,New region in DB; INSERT planned
