candidate_key,entity_type,parent_candidate_key,target_parent_db_identity,resolution_method,status
au-abs-32180ds0004-v1:AU:sua:4001,city,au-abs-31010do002-v1:AU:ste:4,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1001,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2003,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2004,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3002,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:5003,city,au-abs-31010do002-v1:AU:ste:5,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3003,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3004,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:8001,city,au-abs-31010do002-v1:AU:ste:8,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1010,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1011,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:7002,city,au-abs-31010do002-v1:AU:ste:7,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2008,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3006,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3007,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3009,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:6003,city,au-abs-31010do002-v1:AU:ste:6,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:6004,city,au-abs-31010do002-v1:AU:ste:6,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3011,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2011,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2012,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1025,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:5009,city,au-abs-31010do002-v1:AU:ste:5,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1028,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3014,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:2016,city,au-abs-31010do002-v1:AU:ste:2,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3015,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1031,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3016,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:3017,city,au-abs-31010do002-v1:AU:ste:3,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1035,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-32180ds0004-v1:AU:sua:1036,city,au-abs-31010do002-v1:AU:ste:1,,planned_region_insert,resolved
au-abs-31010do002-v1:AU:ste:8,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:1,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:7,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:9,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:3,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:4,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:6,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:2,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
au-abs-31010do002-v1:AU:ste:5,region,au-abs-31010do002-v1:AU:country,,exact_country_code,resolved
