schema_name,role_name,privilege,has_privilege,status,observation_source
core,anon,USAGE,,unavailable,static_migration_analysis
core,anon,SELECT,,unavailable,static_migration_analysis
core,anon,INSERT,,unavailable,static_migration_analysis
core,anon,UPDATE,,unavailable,static_migration_analysis
core,anon,DELETE,,unavailable,static_migration_analysis
core,authenticated,USAGE,,unavailable,static_migration_analysis
core,authenticated,SELECT,,unavailable,static_migration_analysis
core,authenticated,INSERT,,unavailable,static_migration_analysis
core,authenticated,UPDATE,,unavailable,static_migration_analysis
core,authenticated,DELETE,,unavailable,static_migration_analysis
core,service_role,USAGE,,unavailable,static_migration_analysis
core,service_role,SELECT,,unavailable,static_migration_analysis
core,service_role,INSERT,,unavailable,static_migration_analysis
core,service_role,UPDATE,,unavailable,static_migration_analysis
core,service_role,DELETE,,unavailable,static_migration_analysis
catalog,anon,USAGE,,unavailable,static_migration_analysis
catalog,anon,SELECT,,unavailable,static_migration_analysis
catalog,anon,INSERT,,unavailable,static_migration_analysis
catalog,anon,UPDATE,,unavailable,static_migration_analysis
catalog,anon,DELETE,,unavailable,static_migration_analysis
catalog,authenticated,USAGE,,unavailable,static_migration_analysis
catalog,authenticated,SELECT,,unavailable,static_migration_analysis
catalog,authenticated,INSERT,,unavailable,static_migration_analysis
catalog,authenticated,UPDATE,,unavailable,static_migration_analysis
catalog,authenticated,DELETE,,unavailable,static_migration_analysis
catalog,service_role,USAGE,,unavailable,static_migration_analysis
catalog,service_role,SELECT,,unavailable,static_migration_analysis
catalog,service_role,INSERT,,unavailable,static_migration_analysis
catalog,service_role,UPDATE,,unavailable,static_migration_analysis
catalog,service_role,DELETE,,unavailable,static_migration_analysis
taxonomy,anon,USAGE,,unavailable,static_migration_analysis
taxonomy,anon,SELECT,,unavailable,static_migration_analysis
taxonomy,anon,INSERT,,unavailable,static_migration_analysis
taxonomy,anon,UPDATE,,unavailable,static_migration_analysis
taxonomy,anon,DELETE,,unavailable,static_migration_analysis
taxonomy,authenticated,USAGE,,unavailable,static_migration_analysis
taxonomy,authenticated,SELECT,,unavailable,static_migration_analysis
taxonomy,authenticated,INSERT,,unavailable,static_migration_analysis
taxonomy,authenticated,UPDATE,,unavailable,static_migration_analysis
taxonomy,authenticated,DELETE,,unavailable,static_migration_analysis
taxonomy,service_role,USAGE,,unavailable,static_migration_analysis
