schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column,observation_status,observation_source
core,countries,table,,,,,,,,,unavailable,static_migration_analysis
core,currencies,table,,,,,,,,,unavailable,static_migration_analysis
core,qualification_frameworks,table,,,,,,,,,unavailable,static_migration_analysis
core,qualification_levels,table,,,,,,,,,unavailable,static_migration_analysis
core,geographies,table,,,,,,,,,unavailable,static_migration_analysis
catalog,institutions,table,,,,,,,,,unavailable,static_migration_analysis
catalog,institution_identifiers,table,,,,,,,,,unavailable,static_migration_analysis
catalog,campuses,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programmes,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programme_identifiers,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programme_offerings,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programme_fees,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programme_requirements,table,,,,,,,,,unavailable,static_migration_analysis
catalog,programme_accreditations,table,,,,,,,,,unavailable,static_migration_analysis
catalog,legacy_entity_map,table,,,,,,,,,unavailable,static_migration_analysis
taxonomy,study_concepts,table,,,,,,,,,unavailable,static_migration_analysis
taxonomy,occupations,table,,,,,,,,,unavailable,static_migration_analysis
taxonomy,occupation_identifiers,table,,,,,,,,,unavailable,static_migration_analysis
taxonomy,programme_concepts,table,,,,,,,,,unavailable,static_migration_analysis
taxonomy,concept_occupations,table,,,,,,,,,unavailable,static_migration_analysis
evidence,sources,table,,,,,,,,,unavailable,static_migration_analysis
evidence,source_snapshots,table,,,,,,,,,unavailable,static_migration_analysis
evidence,metric_observations,table,,,,,,,,,unavailable,static_migration_analysis
evidence,claims,table,,,,,,,,,unavailable,static_migration_analysis
evidence,claim_evidence,table,,,,,,,,,unavailable,static_migration_analysis
evidence,review_events,table,,,,,,,,,unavailable,static_migration_analysis
evidence,source_register_records,table,,,,,,,,,unavailable,static_migration_analysis
evidence,ingestion_runs,table,,,,,,,,,unavailable,static_migration_analysis
labour,outcome_observations,table,,,,,,,,,unavailable,static_migration_analysis
reporting,products,table,,,,,,,,,unavailable,static_migration_analysis
reporting,methodology_versions,table,,,,,,,,,unavailable,static_migration_analysis
reporting,ranking_models,table,,,,,,,,,unavailable,static_migration_analysis
reporting,ranking_weights,table,,,,,,,,,unavailable,static_migration_analysis
reporting,analysis_runs,table,,,,,,,,,unavailable,static_migration_analysis
reporting,analysis_inputs,table,,,,,,,,,unavailable,static_migration_analysis
reporting,analysis_outputs,table,,,,,,,,,unavailable,static_migration_analysis
reporting,report_releases,table,,,,,,,,,unavailable,static_migration_analysis
reporting,report_artifacts,table,,,,,,,,,unavailable,static_migration_analysis
reporting,monitoring_actions,table,,,,,,,,,unavailable,static_migration_analysis
reporting,analysis_pathways,table,,,,,,,,,unavailable,static_migration_analysis
reporting,analysis_scenarios,table,,,,,,,,,unavailable,static_migration_analysis
reporting,report_programmes,table,,,,,,,,,unavailable,static_migration_analysis
reporting,release_claims,table,,,,,,,,,unavailable,static_migration_analysis
ingest,cities_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,cities_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,cities_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,cities_uk,table,,,,,,,,,unavailable,static_migration_analysis
ingest,cities_us,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_uk,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_us,table,,,,,,,,,unavailable,static_migration_analysis
ingest,colleges_nl,table,,,,,,,,,unavailable,static_migration_analysis
ingest,courses_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,courses_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,courses_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,courses_uk,table,,,,,,,,,unavailable,static_migration_analysis
ingest,programs_us,table,,,,,,,,,unavailable,static_migration_analysis
ingest,field_earnings_au,table,,,,,,,,,unavailable,static_migration_analysis
ingest,field_earnings_ca,table,,,,,,,,,unavailable,static_migration_analysis
ingest,field_earnings_ie,table,,,,,,,,,unavailable,static_migration_analysis
ingest,field_earnings_uk,table,,,,,,,,,unavailable,static_migration_analysis
