entity,country_code,actual_count,count_status,resolution_status,observation_source
countries,AU,,unavailable,resolved,static_migration_analysis
countries,GB,,unavailable,resolved,static_migration_analysis
countries,US,,unavailable,resolved,static_migration_analysis
countries,CA,,unavailable,resolved,static_migration_analysis
countries,IE,,unavailable,resolved,static_migration_analysis
geographies,AU,,unavailable,resolved,static_migration_analysis
geographies,GB,,unavailable,resolved,static_migration_analysis
geographies,US,,unavailable,resolved,static_migration_analysis
geographies,CA,,unavailable,resolved,static_migration_analysis
geographies,IE,,unavailable,resolved,static_migration_analysis
institutions,AU,,unavailable,resolved,static_migration_analysis
institutions,GB,,unavailable,resolved,static_migration_analysis
institutions,US,,unavailable,resolved,static_migration_analysis
institutions,CA,,unavailable,resolved,static_migration_analysis
institutions,IE,,unavailable,resolved,static_migration_analysis
campuses,AU,,unavailable,resolved,static_migration_analysis
campuses,GB,,unavailable,resolved,static_migration_analysis
campuses,US,,unavailable,resolved,static_migration_analysis
campuses,CA,,unavailable,resolved,static_migration_analysis
campuses,IE,,unavailable,resolved,static_migration_analysis
programmes,AU,,unavailable,resolved,static_migration_analysis
programmes,GB,,unavailable,resolved,static_migration_analysis
programmes,US,,unavailable,resolved,static_migration_analysis
programmes,CA,,unavailable,resolved,static_migration_analysis
programmes,IE,,unavailable,resolved,static_migration_analysis
programme_offerings,AU,,unavailable,resolved,static_migration_analysis
programme_offerings,GB,,unavailable,resolved,static_migration_analysis
programme_offerings,US,,unavailable,resolved,static_migration_analysis
programme_offerings,CA,,unavailable,resolved,static_migration_analysis
programme_offerings,IE,,unavailable,resolved,static_migration_analysis
programme_fees,AU,,unavailable,resolved,static_migration_analysis
programme_fees,GB,,unavailable,resolved,static_migration_analysis
programme_fees,US,,unavailable,resolved,static_migration_analysis
programme_fees,CA,,unavailable,resolved,static_migration_analysis
programme_fees,IE,,unavailable,resolved,static_migration_analysis
programme_identifiers,AU,,unavailable,resolved,static_migration_analysis
programme_identifiers,GB,,unavailable,resolved,static_migration_analysis
programme_identifiers,US,,unavailable,resolved,static_migration_analysis
programme_identifiers,CA,,unavailable,resolved,static_migration_analysis
programme_identifiers,IE,,unavailable,resolved,static_migration_analysis
occupations,AU,,unavailable,resolved,static_migration_analysis
occupations,GB,,unavailable,resolved,static_migration_analysis
occupations,US,,unavailable,resolved,static_migration_analysis
occupations,CA,,unavailable,resolved,static_migration_analysis
occupations,IE,,unavailable,resolved,static_migration_analysis
occupation_identifiers,AU,,unavailable,resolved,static_migration_analysis
occupation_identifiers,GB,,unavailable,resolved,static_migration_analysis
occupation_identifiers,US,,unavailable,resolved,static_migration_analysis
occupation_identifiers,CA,,unavailable,resolved,static_migration_analysis
occupation_identifiers,IE,,unavailable,resolved,static_migration_analysis
sources,AU,,unavailable,resolved,static_migration_analysis
sources,GB,,unavailable,resolved,static_migration_analysis
sources,US,,unavailable,resolved,static_migration_analysis
sources,CA,,unavailable,resolved,static_migration_analysis
sources,IE,,unavailable,resolved,static_migration_analysis
source_snapshots,AU,,unavailable,resolved,static_migration_analysis
source_snapshots,GB,,unavailable,resolved,static_migration_analysis
source_snapshots,US,,unavailable,resolved,static_migration_analysis
source_snapshots,CA,,unavailable,resolved,static_migration_analysis
source_snapshots,IE,,unavailable,resolved,static_migration_analysis
metric_observations,AU,,unavailable,resolved,static_migration_analysis
metric_observations,GB,,unavailable,resolved,static_migration_analysis
metric_observations,US,,unavailable,resolved,static_migration_analysis
metric_observations,CA,,unavailable,resolved,static_migration_analysis
metric_observations,IE,,unavailable,resolved,static_migration_analysis
source_register_records,AU,,unavailable,resolved,static_migration_analysis
source_register_records,GB,,unavailable,resolved,static_migration_analysis
source_register_records,US,,unavailable,resolved,static_migration_analysis
source_register_records,CA,,unavailable,resolved,static_migration_analysis
source_register_records,IE,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,AU,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,GB,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,US,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,CA,,unavailable,resolved,static_migration_analysis
labour_outcome_observations,IE,,unavailable,resolved,static_migration_analysis
claims,AU,,unavailable,resolved,static_migration_analysis
claims,GB,,unavailable,resolved,static_migration_analysis
claims,US,,unavailable,resolved,static_migration_analysis
claims,CA,,unavailable,resolved,static_migration_analysis
claims,IE,,unavailable,resolved,static_migration_analysis
claims,,,unavailable,relationship_unresolved,static_migration_analysis
claim_evidence,AU,,unavailable,resolved,static_migration_analysis
claim_evidence,GB,,unavailable,resolved,static_migration_analysis
claim_evidence,US,,unavailable,resolved,static_migration_analysis
claim_evidence,CA,,unavailable,resolved,static_migration_analysis
claim_evidence,IE,,unavailable,resolved,static_migration_analysis
claim_evidence,,,unavailable,relationship_unresolved,static_migration_analysis
review_events,AU,,unavailable,resolved,static_migration_analysis
review_events,GB,,unavailable,resolved,static_migration_analysis
review_events,US,,unavailable,resolved,static_migration_analysis
review_events,CA,,unavailable,resolved,static_migration_analysis
review_events,IE,,unavailable,resolved,static_migration_analysis
review_events,,,unavailable,relationship_unresolved,static_migration_analysis
study_concepts,AU,,unavailable,resolved,static_migration_analysis
study_concepts,GB,,unavailable,resolved,static_migration_analysis
study_concepts,US,,unavailable,resolved,static_migration_analysis
study_concepts,CA,,unavailable,resolved,static_migration_analysis
study_concepts,IE,,unavailable,resolved,static_migration_analysis
study_concepts,,,unavailable,relationship_unresolved,static_migration_analysis
