schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column,observation_status,observation_source
"core","countries","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"core","currencies","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"core","qualification_frameworks","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"core","qualification_levels","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"core","geographies","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","institutions","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","institution_identifiers","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","campuses","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programmes","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programme_identifiers","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programme_offerings","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programme_fees","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programme_requirements","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","programme_accreditations","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"catalog","legacy_entity_map","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"taxonomy","study_concepts","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"taxonomy","occupations","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"taxonomy","occupation_identifiers","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"taxonomy","programme_concepts","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"taxonomy","concept_occupations","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","sources","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","source_snapshots","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","metric_observations","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","claims","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","claim_evidence","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","review_events","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","source_register_records","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"evidence","ingestion_runs","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"labour","outcome_observations","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","products","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","methodology_versions","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","ranking_models","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","ranking_weights","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","analysis_runs","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","analysis_inputs","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","analysis_outputs","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","report_releases","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","report_artifacts","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","monitoring_actions","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","analysis_pathways","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","analysis_scenarios","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","report_programmes","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"reporting","release_claims","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","cities_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","cities_ca","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","cities_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","cities_uk","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","cities_us","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_ca","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_uk","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_us","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","colleges_nl","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","courses_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","courses_ca","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","courses_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","courses_uk","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","programs_us","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","field_earnings_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","field_earnings_ca","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","field_earnings_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
