entity,country_code,actual_count,count_status,resolution_status,observation_source
countries,AU,1,observed,resolved,observed_database
countries,CA,1,observed,resolved,observed_database
countries,IE,1,observed,resolved,observed_database
countries,UK,1,observed,resolved,observed_database
countries,US,1,observed,resolved,observed_database
geographies:city,AU,19,observed,resolved,observed_database
geographies:city,CA,27,observed,resolved,observed_database
geographies:city,IE,18,observed,resolved,observed_database
geographies:city,UK,37,observed,resolved,observed_database
geographies:city,US,31779,observed,resolved,observed_database
institutions,AU,44,observed,resolved,observed_database
institutions,CA,30,observed,resolved,observed_database
institutions,IE,201,observed,resolved,observed_database
institutions,UK,50,observed,resolved,observed_database
institutions,US,6220,observed,resolved,observed_database
campuses,AU,44,observed,resolved,observed_database
campuses,CA,30,observed,resolved,observed_database
campuses,IE,238,observed,resolved,observed_database
campuses,UK,50,observed,resolved,observed_database
campuses,US,6310,observed,resolved,observed_database
programmes,AU,9745,observed,resolved_via_institutions,observed_database
programmes,CA,165,observed,resolved_via_institutions,observed_database
programmes,IE,2876,observed,resolved_via_institutions,observed_database
programmes,UK,185,observed,resolved_via_institutions,observed_database
programme_offerings,AU,9745,observed,resolved_via_programmes,observed_database
programme_offerings,CA,165,observed,resolved_via_programmes,observed_database
programme_offerings,IE,2876,observed,resolved_via_programmes,observed_database
programme_offerings,UK,185,observed,resolved_via_programmes,observed_database
programme_fees,AU,9714,observed,resolved_via_offerings,observed_database
programme_identifiers,AU,19488,observed,resolved_via_programmes,observed_database
programme_identifiers,CA,165,observed,resolved_via_programmes,observed_database
programme_identifiers,IE,2876,observed,resolved_via_programmes,observed_database
programme_identifiers,UK,185,observed,resolved_via_programmes,observed_database
occupations,AU,468,observed,resolved,observed_database
occupations,CA,514,observed,resolved,observed_database
occupations,UK,408,observed,resolved,observed_database
occupation_identifiers,AU,468,observed,resolved_via_occupations,observed_database
occupation_identifiers,CA,514,observed,resolved_via_occupations,observed_database
occupation_identifiers,UK,408,observed,resolved_via_occupations,observed_database
sources,AU,463,observed,resolved,observed_database
source_snapshots,AU,557,observed,resolved_via_sources,observed_database
metric_observations,AU,557,observed,resolved_via_source_snapshots,observed_database
source_register_records,AU,439,observed,resolved_via_metric_observations,observed_database
labour_outcome_observations,AU,164,observed,resolved,observed_database
labour_outcome_observations,CA,140,observed,resolved,observed_database
labour_outcome_observations,IE,300,observed,resolved,observed_database
labour_outcome_observations,UK,140,observed,resolved,observed_database
claims,,444,observed,relationship_unresolved,observed_database
claim_evidence,,439,observed,relationship_unresolved,observed_database
review_events,,0,observed,relationship_unresolved,observed_database
study_concepts,,1,observed,relationship_unresolved,observed_database
