check_name,subject,result_count,result_kind,check_status,observation_source
duplicate_canonical_country_code,core.countries,0,count,observed,observed_database
uk_country_code_observed,core.countries,1,count,observed,observed_database
orphan_campus,catalog.campuses,0,count,observed,observed_database
orphan_programme,catalog.programmes,0,count,observed,observed_database
orphan_programme_offering,catalog.programme_offerings,0,count,observed,observed_database
orphan_programme_identifier,catalog.programme_identifiers,0,count,observed,observed_database
orphan_occupation_identifier,taxonomy.occupation_identifiers,0,count,observed,observed_database
orphan_source_snapshot,evidence.source_snapshots,0,count,observed,observed_database
metric_observation_without_source,evidence.metric_observations,0,count,observed,observed_database
verified_without_reviewed_date,evidence.metric_observations,4,count,observed,observed_database
duplicate_programme_title,catalog.programmes,732,count,observed,observed_database
