schema_name,table_name,actual_row_count,count_status,observation_source
catalog,campuses,6685,observed,observed_database
catalog,institution_identifiers,6660,observed,observed_database
catalog,institutions,6558,observed,observed_database
catalog,legacy_entity_map,72320,observed,observed_database
catalog,programme_accreditations,9743,observed,observed_database
catalog,programme_fees,9714,observed,observed_database
catalog,programme_identifiers,22714,observed,observed_database
catalog,programme_offerings,12971,observed,observed_database
catalog,programme_requirements,28,observed,observed_database
catalog,programmes,12971,observed,observed_database
core,countries,6,observed,observed_database
core,currencies,5,observed,observed_database
core,geographies,31892,observed,observed_database
core,qualification_frameworks,3,observed,observed_database
core,qualification_levels,28,observed,observed_database
evidence,claim_evidence,439,observed,observed_database
evidence,claims,444,observed,observed_database
evidence,ingestion_runs,12,observed,observed_database
evidence,metric_observations,10996,observed,observed_database
evidence,review_events,0,observed,observed_database
evidence,source_register_records,439,observed,observed_database
evidence,source_snapshots,558,observed,observed_database
evidence,sources,464,observed,observed_database
ingest,cities_au,19,observed,observed_database
ingest,cities_ca,27,observed,observed_database
ingest,cities_ie,18,observed,observed_database
ingest,cities_uk,37,observed,observed_database
ingest,cities_us,31779,observed,observed_database
ingest,colleges_au,42,observed,observed_database
ingest,colleges_ca,30,observed,observed_database
ingest,colleges_ie,34,observed,observed_database
ingest,colleges_nl,13,observed,observed_database
ingest,colleges_uk,49,observed,observed_database
ingest,colleges_us,6322,observed,observed_database
ingest,country_pr_pathways,5,observed,observed_database
ingest,courses_au,9743,observed,observed_database
ingest,courses_ca,165,observed,observed_database
ingest,courses_ie,2876,observed,observed_database
ingest,courses_uk,185,observed,observed_database
ingest,field_earnings_au,82,observed,observed_database
ingest,field_earnings_ca,70,observed,observed_database
ingest,field_earnings_ie,150,observed,observed_database
ingest,field_earnings_uk,70,observed,observed_database
ingest,graduate_outcomes_ie,64,observed,observed_database
ingest,language_courses_ie,0,observed,observed_database
ingest,language_schools_ie,67,observed,observed_database
ingest,occupation_mobility_flows_au,193567,observed,observed_database
ingest,occupation_mobility_stocks_au,10889,observed,observed_database
ingest,occupation_outlook_au,716,observed,observed_database
ingest,occupation_pathways_au,5351,observed,observed_database
ingest,occupation_profiles_au,1236,observed,observed_database
ingest,occupation_regional_employment_au,31240,observed,observed_database
ingest,occupation_sa4_au,0,observed,observed_database
ingest,occupation_shortage_drivers_au,47,observed,observed_database
ingest,occupation_state_au,2452,observed,observed_database
ingest,occupation_state_ca,7147,observed,observed_database
ingest,occupation_state_uk,3705,observed,observed_database
ingest,occupation_vacancies_au,75816,observed,observed_database
ingest,occupations_au,600,observed,observed_database
ingest,occupations_ca,514,observed,observed_database
ingest,occupations_uk,408,observed,observed_database
ingest,program_page_facts_au,118,observed,observed_database
ingest,programs_us,106083,observed,observed_database
ingest,regulatory_requirements_au,29,observed,observed_database
ingest,shortage_occupations_ie,79,observed,observed_database
ingest,state_salary_multiplier,64,observed,observed_database
ingest,visa_occupation_status_au,482,observed,observed_database
labour,outcome_observations,744,observed,observed_database
reporting,analysis_inputs,769,observed,observed_database
reporting,analysis_outputs,200,observed,observed_database
reporting,analysis_pathways,3,observed,observed_database
reporting,analysis_runs,1,observed,observed_database
reporting,analysis_scenarios,9,observed,observed_database
reporting,methodology_versions,1,observed,observed_database
reporting,monitoring_actions,5,observed,observed_database
reporting,products,1,observed,observed_database
reporting,ranking_models,0,observed,observed_database
reporting,ranking_weights,0,observed,observed_database
reporting,release_claims,444,observed,observed_database
reporting,report_artifacts,9,observed,observed_database
reporting,report_programmes,7,observed,observed_database
reporting,report_releases,1,observed,observed_database
taxonomy,concept_occupations,29,observed,observed_database
taxonomy,occupation_identifiers,1390,observed,observed_database
taxonomy,occupations,1390,observed,observed_database
taxonomy,programme_concepts,187,observed,observed_database
taxonomy,study_concepts,1,observed,observed_database
