schema_name,role_name,privilege,has_privilege,status
core,anon,USAGE,f,observed
core,anon,SELECT,0,observed
core,anon,INSERT,0,observed
core,anon,UPDATE,0,observed
core,anon,DELETE,0,observed
core,authenticated,USAGE,f,observed
core,authenticated,SELECT,0,observed
core,authenticated,INSERT,0,observed
core,authenticated,UPDATE,0,observed
core,authenticated,DELETE,0,observed
core,service_role,USAGE,t,observed
core,service_role,SELECT,5,observed
core,service_role,INSERT,5,observed
core,service_role,UPDATE,5,observed
core,service_role,DELETE,5,observed
catalog,anon,USAGE,f,observed
catalog,anon,SELECT,0,observed
catalog,anon,INSERT,0,observed
catalog,anon,UPDATE,0,observed
catalog,anon,DELETE,0,observed
catalog,authenticated,USAGE,f,observed
catalog,authenticated,SELECT,0,observed
catalog,authenticated,INSERT,0,observed
catalog,authenticated,UPDATE,0,observed
catalog,authenticated,DELETE,0,observed
catalog,service_role,USAGE,t,observed
catalog,service_role,SELECT,10,observed
catalog,service_role,INSERT,10,observed
catalog,service_role,UPDATE,10,observed
catalog,service_role,DELETE,10,observed
taxonomy,anon,USAGE,f,observed
taxonomy,anon,SELECT,0,observed
taxonomy,anon,INSERT,0,observed
taxonomy,anon,UPDATE,0,observed
taxonomy,anon,DELETE,0,observed
taxonomy,authenticated,USAGE,f,observed
taxonomy,authenticated,SELECT,0,observed
taxonomy,authenticated,INSERT,0,observed
taxonomy,authenticated,UPDATE,0,observed
taxonomy,authenticated,DELETE,0,observed
taxonomy,service_role,USAGE,t,observed
taxonomy,service_role,SELECT,5,observed
taxonomy,service_role,INSERT,5,observed
taxonomy,service_role,UPDATE,5,observed
taxonomy,service_role,DELETE,5,observed
evidence,anon,USAGE,f,observed
evidence,anon,SELECT,0,observed
evidence,anon,INSERT,0,observed
evidence,anon,UPDATE,0,observed
evidence,anon,DELETE,0,observed
evidence,authenticated,USAGE,f,observed
evidence,authenticated,SELECT,0,observed
evidence,authenticated,INSERT,0,observed
evidence,authenticated,UPDATE,0,observed
evidence,authenticated,DELETE,0,observed
evidence,service_role,USAGE,t,observed
evidence,service_role,SELECT,8,observed
evidence,service_role,INSERT,8,observed
evidence,service_role,UPDATE,8,observed
evidence,service_role,DELETE,8,observed
labour,anon,USAGE,f,observed
labour,anon,SELECT,0,observed
labour,anon,INSERT,0,observed
labour,anon,UPDATE,0,observed
labour,anon,DELETE,0,observed
labour,authenticated,USAGE,f,observed
labour,authenticated,SELECT,0,observed
labour,authenticated,INSERT,0,observed
labour,authenticated,UPDATE,0,observed
labour,authenticated,DELETE,0,observed
labour,service_role,USAGE,t,observed
labour,service_role,SELECT,1,observed
labour,service_role,INSERT,1,observed
labour,service_role,UPDATE,1,observed
labour,service_role,DELETE,1,observed
reporting,anon,USAGE,f,observed
reporting,anon,SELECT,0,observed
reporting,anon,INSERT,0,observed
reporting,anon,UPDATE,0,observed
reporting,anon,DELETE,0,observed
reporting,authenticated,USAGE,f,observed
reporting,authenticated,SELECT,0,observed
reporting,authenticated,INSERT,0,observed
reporting,authenticated,UPDATE,0,observed
reporting,authenticated,DELETE,0,observed
reporting,service_role,USAGE,t,observed
reporting,service_role,SELECT,14,observed
reporting,service_role,INSERT,14,observed
reporting,service_role,UPDATE,14,observed
reporting,service_role,DELETE,14,observed
ingest,anon,USAGE,f,observed
ingest,anon,SELECT,0,observed
ingest,anon,INSERT,0,observed
ingest,anon,UPDATE,0,observed
ingest,anon,DELETE,0,observed
ingest,authenticated,USAGE,f,observed
ingest,authenticated,SELECT,0,observed
ingest,authenticated,INSERT,0,observed
ingest,authenticated,UPDATE,0,observed
ingest,authenticated,DELETE,0,observed
ingest,service_role,USAGE,t,observed
ingest,service_role,SELECT,44,observed
ingest,service_role,INSERT,44,observed
ingest,service_role,UPDATE,44,observed
ingest,service_role,DELETE,44,observed
api_private,anon,USAGE,f,observed
api_private,anon,SELECT,0,observed
api_private,anon,INSERT,0,observed
api_private,anon,UPDATE,0,observed
api_private,anon,DELETE,0,observed
api_private,authenticated,USAGE,f,observed
api_private,authenticated,SELECT,0,observed
api_private,authenticated,INSERT,0,observed
api_private,authenticated,UPDATE,0,observed
api_private,authenticated,DELETE,0,observed
api_private,service_role,USAGE,t,observed
api_private,service_role,SELECT,11,observed
api_private,service_role,INSERT,0,observed
api_private,service_role,UPDATE,0,observed
api_private,service_role,DELETE,0,observed
