schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column
catalog,campuses,table,postgres,t,t,3,t,t,f,f
catalog,institution_identifiers,table,postgres,t,t,1,f,t,f,t
catalog,institutions,table,postgres,t,t,1,t,t,f,f
catalog,legacy_entity_map,table,postgres,t,t,0,f,f,f,f
catalog,programme_accreditations,table,postgres,t,t,3,f,t,t,f
catalog,programme_fees,table,postgres,t,t,3,f,t,f,f
catalog,programme_identifiers,table,postgres,t,t,1,f,t,f,t
catalog,programme_offerings,table,postgres,t,t,2,f,t,f,t
catalog,programme_requirements,table,postgres,t,t,2,f,t,t,f
catalog,programmes,table,postgres,t,t,2,f,t,f,f
core,countries,table,postgres,t,t,0,f,t,f,f
core,currencies,table,postgres,t,t,0,f,t,f,f
core,geographies,table,postgres,t,t,2,t,t,f,f
core,qualification_frameworks,table,postgres,t,t,1,t,t,f,t
core,qualification_levels,table,postgres,t,t,1,f,t,f,f
evidence,claim_evidence,table,postgres,t,t,2,f,t,f,f
evidence,claims,table,postgres,t,t,0,f,t,f,f
evidence,ingestion_runs,table,postgres,t,t,0,f,f,f,t
evidence,metric_observations,table,postgres,t,t,1,f,t,t,t
evidence,review_events,table,postgres,t,t,0,f,f,t,f
evidence,source_register_records,table,postgres,t,t,2,f,t,f,t
evidence,source_snapshots,table,postgres,t,t,1,f,t,f,t
evidence,sources,table,postgres,t,t,1,t,t,f,t
ingest,cities_au,table,postgres,t,t,0,f,f,f,f
ingest,cities_ca,table,postgres,t,t,0,f,f,f,f
ingest,cities_ie,table,postgres,t,t,0,f,f,f,f
ingest,cities_uk,table,postgres,t,t,0,f,f,f,f
ingest,cities_us,table,postgres,t,t,0,f,f,f,f
ingest,colleges_au,table,postgres,t,t,0,f,f,f,f
ingest,colleges_ca,table,postgres,t,t,0,f,f,f,f
ingest,colleges_ie,table,postgres,t,t,0,f,f,f,f
ingest,colleges_nl,table,postgres,t,t,0,f,f,f,f
ingest,colleges_uk,table,postgres,t,t,0,f,f,f,f
ingest,colleges_us,table,postgres,t,t,0,f,f,f,f
ingest,country_pr_pathways,table,postgres,t,t,0,t,f,f,t
ingest,courses_au,table,postgres,t,t,0,f,f,f,t
ingest,courses_ca,table,postgres,t,t,0,f,f,f,f
ingest,courses_ie,table,postgres,t,t,0,f,f,f,f
ingest,courses_uk,table,postgres,t,t,0,f,f,f,f
ingest,field_earnings_au,table,postgres,t,t,0,f,t,f,t
ingest,field_earnings_ca,table,postgres,t,t,0,f,t,f,t
ingest,field_earnings_ie,table,postgres,t,t,0,f,t,f,t
ingest,field_earnings_uk,table,postgres,t,t,0,f,t,f,t
ingest,graduate_outcomes_ie,table,postgres,t,t,0,f,t,f,f
ingest,language_courses_ie,table,postgres,t,t,1,f,f,f,f
ingest,language_schools_ie,table,postgres,t,t,0,f,f,f,f
ingest,occupation_mobility_flows_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_mobility_stocks_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_outlook_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_pathways_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_profiles_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_regional_employment_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_sa4_au,table,postgres,t,t,0,f,f,f,f
ingest,occupation_shortage_drivers_au,table,postgres,t,t,0,f,f,f,t
ingest,occupation_state_au,table,postgres,t,t,0,f,f,f,f
