schema_name,table_name,relation_type
catalog,campuses,table
catalog,institution_identifiers,table
catalog,institutions,table
catalog,legacy_entity_map,table
catalog,programme_accreditations,table
catalog,programme_fees,table
catalog,programme_identifiers,table
catalog,programme_offerings,table
catalog,programme_requirements,table
catalog,programmes,table
core,countries,table
core,currencies,table
core,geographies,table
core,qualification_frameworks,table
core,qualification_levels,table
evidence,claim_evidence,table
evidence,claims,table
evidence,ingestion_runs,table
evidence,metric_observations,table
evidence,review_events,table
evidence,source_register_records,table
evidence,source_snapshots,table
evidence,sources,table
ingest,cities_au,table
ingest,cities_ca,table
ingest,cities_ie,table
ingest,cities_uk,table
ingest,cities_us,table
ingest,colleges_au,table
ingest,colleges_ca,table
ingest,colleges_ie,table
ingest,colleges_nl,table
ingest,colleges_uk,table
ingest,colleges_us,table
ingest,country_pr_pathways,table
ingest,courses_au,table
ingest,courses_ca,table
ingest,courses_ie,table
ingest,courses_uk,table
ingest,field_earnings_au,table
ingest,field_earnings_ca,table
ingest,field_earnings_ie,table
ingest,field_earnings_uk,table
ingest,graduate_outcomes_ie,table
ingest,language_courses_ie,table
ingest,language_schools_ie,table
ingest,occupation_mobility_flows_au,table
ingest,occupation_mobility_stocks_au,table
ingest,occupation_outlook_au,table
ingest,occupation_pathways_au,table
ingest,occupation_profiles_au,table
ingest,occupation_regional_employment_au,table
ingest,occupation_sa4_au,table
ingest,occupation_shortage_drivers_au,table
ingest,occupation_state_au,table
ingest,occupation_state_ca,table
ingest,occupation_state_uk,table
ingest,occupation_vacancies_au,table
ingest,occupations_au,table
ingest,occupations_ca,table
ingest,occupations_uk,table
ingest,program_page_facts_au,table
ingest,programs_us,table
ingest,regulatory_requirements_au,table
ingest,shortage_occupations_ie,table
ingest,state_salary_multiplier,table
ingest,visa_occupation_status_au,table
labour,outcome_observations,table
reporting,analysis_inputs,table
reporting,analysis_outputs,table
reporting,analysis_pathways,table
reporting,analysis_runs,table
reporting,analysis_scenarios,table
reporting,methodology_versions,table
reporting,monitoring_actions,table
reporting,products,table
reporting,ranking_models,table
reporting,ranking_weights,table
reporting,release_claims,table
reporting,report_artifacts,table
reporting,report_programmes,table
reporting,report_releases,table
taxonomy,concept_occupations,table
taxonomy,occupation_identifiers,table
taxonomy,occupations,table
taxonomy,programme_concepts,table
taxonomy,study_concepts,table
