schema_name,role_name,has_schema_usage
api_private,anon,f
api_private,authenticated,f
api_private,service_role,t
catalog,anon,f
catalog,authenticated,f
catalog,service_role,t
core,anon,f
core,authenticated,f
core,service_role,t
evidence,anon,f
evidence,authenticated,f
evidence,service_role,t
ingest,anon,f
ingest,authenticated,f
ingest,service_role,t
labour,anon,f
labour,authenticated,f
labour,service_role,t
reporting,anon,f
reporting,authenticated,f
reporting,service_role,t
taxonomy,anon,f
taxonomy,authenticated,f
taxonomy,service_role,t
schema_name,role_name,tables_select,tables_insert,tables_update,tables_delete,tables_total
api_private,anon,0,0,0,0,11
api_private,authenticated,0,0,0,0,11
api_private,service_role,11,0,0,0,11
catalog,anon,0,0,0,0,10
catalog,authenticated,0,0,0,0,10
catalog,service_role,10,10,10,10,10
core,anon,0,0,0,0,5
core,authenticated,0,0,0,0,5
core,service_role,5,5,5,5,5
evidence,anon,0,0,0,0,8
evidence,authenticated,0,0,0,0,8
evidence,service_role,8,8,8,8,8
ingest,anon,0,0,0,0,44
ingest,authenticated,0,0,0,0,44
ingest,service_role,44,44,44,44,44
labour,anon,0,0,0,0,1
labour,authenticated,0,0,0,0,1
labour,service_role,1,1,1,1,1
reporting,anon,0,0,0,0,14
reporting,authenticated,0,0,0,0,14
reporting,service_role,14,14,14,14,14
taxonomy,anon,0,0,0,0,5
taxonomy,authenticated,0,0,0,0,5
taxonomy,service_role,5,5,5,5,5
schema_name,schema_owner,roles_with_usage
api_private,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
catalog,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
core,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
evidence,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
ingest,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
labour,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
reporting,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
taxonomy,postgres,"{postgres,service_role,supabase_admin,supabase_etl_admin,supabase_read_only_user}"
