schema_name,table_name,actual_row_count
catalog,campuses,6685
catalog,institution_identifiers,6660
catalog,institutions,6558
catalog,legacy_entity_map,72320
catalog,programme_accreditations,9743
catalog,programme_fees,9714
catalog,programme_identifiers,22714
catalog,programme_offerings,12971
catalog,programme_requirements,28
catalog,programmes,12971
core,countries,6
core,currencies,5
core,geographies,31892
core,qualification_frameworks,3
core,qualification_levels,28
evidence,claim_evidence,439
evidence,claims,444
evidence,ingestion_runs,12
evidence,metric_observations,10996
evidence,review_events,0
evidence,source_register_records,439
evidence,source_snapshots,558
evidence,sources,464
ingest,cities_au,19
ingest,cities_ca,27
ingest,cities_ie,18
ingest,cities_uk,37
ingest,cities_us,31779
ingest,colleges_au,42
ingest,colleges_ca,30
ingest,colleges_ie,34
ingest,colleges_nl,13
ingest,colleges_uk,49
ingest,colleges_us,6322
ingest,country_pr_pathways,5
ingest,courses_au,9743
ingest,courses_ca,165
ingest,courses_ie,2876
ingest,courses_uk,185
ingest,field_earnings_au,82
ingest,field_earnings_ca,70
ingest,field_earnings_ie,150
ingest,field_earnings_uk,70
ingest,graduate_outcomes_ie,64
ingest,language_courses_ie,0
ingest,language_schools_ie,67
ingest,occupation_mobility_flows_au,193567
ingest,occupation_mobility_stocks_au,10889
ingest,occupation_outlook_au,716
ingest,occupation_pathways_au,5351
ingest,occupation_profiles_au,1236
ingest,occupation_regional_employment_au,31240
ingest,occupation_sa4_au,0
ingest,occupation_shortage_drivers_au,47
ingest,occupation_state_au,2452
ingest,occupation_state_ca,7147
ingest,occupation_state_uk,3705
ingest,occupation_vacancies_au,75816
ingest,occupations_au,600
ingest,occupations_ca,514
ingest,occupations_uk,408
ingest,program_page_facts_au,118
ingest,programs_us,106083
ingest,regulatory_requirements_au,29
ingest,shortage_occupations_ie,79
ingest,state_salary_multiplier,64
ingest,visa_occupation_status_au,482
labour,outcome_observations,744
reporting,analysis_inputs,769
reporting,analysis_outputs,200
reporting,analysis_pathways,3
reporting,analysis_runs,1
reporting,analysis_scenarios,9
reporting,methodology_versions,1
reporting,monitoring_actions,5
reporting,products,1
reporting,ranking_models,0
reporting,ranking_weights,0
reporting,release_claims,444
reporting,report_artifacts,9
reporting,report_programmes,7
reporting,report_releases,1
taxonomy,concept_occupations,29
taxonomy,occupation_identifiers,1390
taxonomy,occupations,1390
taxonomy,programme_concepts,187
taxonomy,study_concepts,1
