Date,Not indexed,Indexed,Impressions
2026-04-08,,,3
2026-04-09,,,73
2026-04-10,3180,331,102
2026-04-11,3433,328,103
2026-04-12,3433,328,108
2026-04-13,3433,328,125
2026-04-14,3442,319,97
2026-04-15,3442,319,156
2026-04-16,3442,319,105
2026-04-17,3442,319,79
2026-04-18,3478,284,90
2026-04-19,3478,284,138
2026-04-20,3478,284,121
2026-04-21,3583,179,138
2026-04-22,3583,179,152
2026-04-23,3583,179,199
2026-04-24,3583,179,190
2026-04-25,3615,147,133
2026-04-26,3615,147,163
2026-04-27,3615,147,185
2026-04-28,3676,84,173
2026-04-29,3676,84,121
2026-04-30,3676,84,213
2026-05-01,3676,84,138
2026-05-02,4112,48,180
2026-05-03,4112,48,136
2026-05-04,4112,48,126
2026-05-05,4125,52,117
2026-05-06,4125,52,135
2026-05-07,4125,52,154
2026-05-08,4125,52,132
2026-05-09,4115,63,161
2026-05-10,4115,63,132
2026-05-11,4115,63,178
2026-05-12,4102,77,173
2026-05-13,4102,77,176
2026-05-14,4102,77,161
2026-05-15,4102,77,191
2026-05-16,13806,75,169
2026-05-17,13806,75,247
2026-05-18,13806,75,149
2026-05-19,16885,75,79
2026-05-20,16885,75,133
2026-05-21,16885,75,73
2026-05-22,16885,75,57
2026-05-23,16887,71,68
2026-05-24,16887,71,66
2026-05-25,16887,71,19
2026-05-26,16882,75,13
2026-05-27,16882,75,5
2026-05-28,16882,75,4
2026-05-29,16882,75,7
2026-05-30,16891,73,40
2026-05-31,16891,73,31
2026-06-01,16891,73,23
2026-06-02,16903,71,7
2026-06-03,16903,71,6
2026-06-04,16903,71,2
2026-06-05,16903,71,19
2026-06-06,16909,69,101
2026-06-07,16909,69,172
2026-06-08,16909,69,125
2026-06-09,16908,77,144
2026-06-10,16908,77,151
2026-06-11,16908,77,169
2026-06-12,16908,77,143
2026-06-13,17791,92,142
2026-06-14,17791,92,145
2026-06-15,17791,92,172
2026-06-16,17791,92,189
2026-06-17,17791,92,168
2026-06-18,17791,92,138
2026-06-19,17791,92,80
2026-06-20,17791,92,12
2026-06-21,17791,92,6
2026-06-22,17791,92,8
2026-06-23,17791,92,11
2026-06-24,17791,92,18
2026-06-25,17791,92,7
2026-06-26,17791,92,11
2026-06-27,17791,92,19
2026-06-28,17791,92,6
2026-06-29,17791,92,6
2026-06-30,17791,92,2
