"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Bachelor's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 7"
"Total - Major field of study - Classification of Instructional Programs (CIP) 2021 12","5,295,360","4,277,905","53,600","66,500","3,973,920","56,400","68,300"
"No postsecondary certificate, diploma or degree","0","0","...","...","0","...","..."
"Education","543,935","396,210","58,800","56,400","376,630","61,200","58,300"
"13. Education","543,935","396,210","58,800","56,400","376,630","61,200","58,300"
"13.01 Education, general","344,875","241,465","59,600","56,600","229,255","62,000","58,600"
"13.02 Bilingual, multilingual and multicultural education","415","335","56,800","59,400","325","57,600","60,200"
"13.03 Curriculum and instruction","55","35","29,000","28,000","35","29,000","28,000"
"13.04 Educational administration and supervision","925","560","42,400","52,400","495","54,400","58,600"
"13.05 Educational/instructional media design","150","105","51,200","68,000","95","44,800","55,000"
"13.06 Educational assessment, evaluation and research","70","50","12,300","18,000","45","18,600","21,000"
"13.07 International and comparative education","40","40","71,500","64,000","40","71,500","64,000"
"13.09 Social and philosophical foundations of education","0","0","...","...","0","...","..."
"13.10 Special education and teaching","12,560","9,030","60,000","54,500","8,720","61,600","55,950"
"13.11 Student counselling and personnel services","3,320","2,550","46,800","49,840","2,440","48,800","51,120"
"13.12 Teacher education and professional development, specific levels and methods","62,720","49,355","50,000","50,240","47,515","51,200","51,450"
"13.13 Teacher education and professional development, specific subject areas","114,715","89,255","63,200","59,950","84,380","66,000","62,100"
"13.14 Teaching English or French as a second or foreign language","3,805","3,255","54,000","50,640","3,125","54,800","51,950"
"13.15 Teaching assistants/aides","215","145","30,600","28,400","140","29,800","29,200"
"13.99 Education, other","35","25","x","52,000","20","x","60,000"
"Visual and performing arts, and communications technologies","200,160","162,810","31,200","42,160","138,470","36,000","45,160"
"10. Communications technologies/technicians and support services","8,595","7,700","46,800","52,550","7,135","47,600","53,650"
"10.01 Communications technology/technician","0","0","...","...","0","...","..."
"10.02 Audiovisual communications technologies/technicians","470","425","24,600","39,400","395","26,400","40,600"
"10.03 Graphic communications","8,115","7,260","48,000","53,350","6,725","48,800","54,400"
"10.99 Communications technologies/technicians and support services, other","0","0","...","...","0","...","..."
"50. Visual and performing arts","191,560","155,105","30,200","41,640","131,335","35,200","44,720"
"50.01 Visual, digital and performing arts, general","8,580","7,035","27,800","36,840","6,120","31,000","38,960"
"50.02 Crafts/craft design, folk art and artisanry","185","120","19,000","26,000","95","20,800","26,400"
"50.03 Dance","2,415","2,045","18,600","37,120","1,695","18,800","40,560"
"50.04 Design and applied arts","46,570","38,830","38,400","46,200","33,925","41,600","48,840"
"50.05 Drama/theatre arts and stagecraft","16,995","14,995","25,200","36,440","12,865","27,200","37,880"
"50.06 Film/video and photographic arts","19,365","16,870","32,000","43,920","14,635","34,800","45,680"
"50.07 Fine arts and art studies","65,295","49,945","30,800","41,840","42,435","35,600","45,160"
"50.09 Music","31,565","24,750","22,000","36,720","19,065","28,800","41,680"
"50.10 Arts, entertainment, and media management","560","500","44,800","75,600","470","44,800","78,400"
"50.11 Community/environmental/socially-engaged art","25","20","x","14,000","0","...","..."
"50.99 Visual and performing arts, other","15","0","...","...","0","...","..."
"Humanities","503,905","368,170","41,200","52,650","333,015","44,400","54,800"
"16. Indigenous and foreign languages, literatures, and linguistics","54,185","38,900","37,200","45,240","34,375","40,400","47,640"
"16.01 Linguistic, comparative and related language studies and services","39,120","29,540","40,400","47,520","26,195","43,200","49,720"
"16.02 African languages, literatures and linguistics","30","30","x","19,000","30","x","19,000"
"16.03 East Asian languages, literatures and linguistics","4,705","2,690","22,200","33,000","2,295","25,400","35,560"
"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics","1,050","650","29,000","36,000","555","32,800","39,600"
"16.05 Germanic languages, literatures and linguistics","1,950","1,275","36,400","45,200","1,095","40,800","49,600"
"16.06 Modern Greek language and literature","50","45","40,400","42,000","40","40,400","46,000"
"16.07 South Asian languages, literatures and linguistics","1,200","705","20,000","24,200","610","21,200","25,200"
