"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Master's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 7"
"Total - Major field of study - Classification of Instructional Programs (CIP) 2021 12","1,740,600","1,409,685","65,500","82,000","1,297,875","69,000","84,400"
"No postsecondary certificate, diploma or degree","0","0","...","...","0","...","..."
"Education","193,260","138,880","76,000","69,500","130,460","79,500","72,000"
"13. Education","193,260","138,880","76,000","69,500","130,460","79,500","72,000"
"13.01 Education, general","126,300","91,070","78,500","70,500","85,985","82,000","72,700"
"13.02 Bilingual, multilingual and multicultural education","205","180","92,000","81,000","175","93,000","80,000"
"13.03 Curriculum and instruction","2,880","1,990","85,000","73,100","1,895","88,000","76,100"
"13.04 Educational administration and supervision","17,360","11,720","92,000","81,000","11,005","95,000","84,100"
"13.05 Educational/instructional media design","2,335","1,895","83,000","77,600","1,805","84,000","79,900"
"13.06 Educational assessment, evaluation and research","420","290","81,000","72,000","270","87,000","74,000"
"13.07 International and comparative education","180","160","65,000","67,000","150","72,500","68,000"
"13.09 Social and philosophical foundations of education","415","285","65,000","61,200","255","67,000","63,600"
"13.10 Special education and teaching","5,190","3,685","69,000","61,500","3,475","73,500","65,300"
"13.11 Student counselling and personnel services","8,275","6,230","65,000","61,750","5,820","67,500","64,100"
"13.12 Teacher education and professional development, specific levels and methods","9,305","6,600","57,200","66,600","6,025","64,500","70,800"
"13.13 Teacher education and professional development, specific subject areas","16,760","11,955","57,200","59,100","10,910","61,600","62,350"
"13.14 Teaching English or French as a second or foreign language","2,200","1,630","43,600","47,920","1,525","44,400","49,480"
"13.15 Teaching assistants/aides","1,375","1,160","86,000","71,000","1,130","87,000","72,200"
"13.99 Education, other","45","40","29,400","38,000","40","29,400","38,000"
"Visual and performing arts, and communications technologies","39,590","32,125","29,400","43,680","25,900","36,400","48,320"
"10. Communications technologies/technicians and support services","1,000","850","64,000","68,200","770","67,500","72,200"
"10.01 Communications technology/technician","0","0","...","...","0","...","..."
"10.02 Audiovisual communications technologies/technicians","230","180","52,000","59,600","160","55,200","63,000"
"10.03 Graphic communications","765","670","68,000","70,400","615","73,000","74,800"
"10.99 Communications technologies/technicians and support services, other","0","0","...","...","0","...","..."
"50. Visual and performing arts","38,595","31,280","28,400","43,000","25,130","35,600","47,600"
"50.01 Visual, digital and performing arts, general","2,280","1,955","31,800","43,400","1,610","40,800","49,360"
"50.02 Crafts/craft design, folk art and artisanry","30","15","x","60,000","15","x","60,000"
"50.03 Dance","540","450","12,600","29,900","325","17,600","37,400"
"50.04 Design and applied arts","4,150","3,285","35,600","47,240","2,805","40,400","50,440"
"50.05 Drama/theatre arts and stagecraft","2,840","2,310","28,200","41,680","1,930","33,600","45,120"
"50.06 Film/video and photographic arts","2,905","2,460","32,000","43,400","2,155","35,200","46,200"
"50.07 Fine arts and art studies","12,130","9,530","30,600","47,240","7,695","39,200","53,700"
"50.09 Music","13,330","10,965","24,200","38,000","8,315","28,200","41,160"
"50.10 Arts, entertainment, and media management","380","290","40,400","69,500","265","43,200","71,000"
"50.11 Community/environmental/socially-engaged art","0","0","...","...","0","...","..."
"50.99 Visual and performing arts, other","0","0","...","...","0","...","..."
"Humanities","128,120","95,270","43,600","52,950","85,630","47,600","54,650"
"16. Indigenous and foreign languages, literatures, and linguistics","20,715","15,135","37,600","48,240","13,185","42,400","51,160"
"16.01 Linguistic, comparative and related language studies and services","13,640","10,510","44,000","51,550","9,155","48,000","54,700"
"16.02 African languages, literatures and linguistics","0","0","...","...","0","...","..."
"16.03 East Asian languages, literatures and linguistics","370","235","23,400","38,800","210","23,400","40,000"
"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics","765","490","30,000","40,400","435","36,400","43,600"
"16.05 Germanic languages, literatures and linguistics","800","465","34,000","54,800","405","42,400","55,600"
"16.06 Modern Greek language and literature","0","0","...","...","0","...","..."
"16.07 South Asian languages, literatures and linguistics","3,220","2,225","23,200","28,760","1,935","25,600","30,480"
"16.08 Iranian languages, literatures and linguistics","80","55","18,800","33,000","40","18,800","19,500"
"16.09 Romance languages, literatures and linguistics","895","570","45,200","73,200","500","50,800","80,000"
"16.10 Indigenous languages, literatures, and linguistics of the Americas","60","50","62,000","58,000","50","40,400","56,000"
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","220","150","16,600","26,000","90","34,400","32,500"
"16.12 Classics and classical languages, literatures and linguistics","195","95","70,500","67,000","80","48,000","62,000"
"16.13 Celtic languages, literatures and linguistics","0","0","...","...","0","...","..."
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics","20","15","x","50,000","0","...","..."
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics","25","0","...","...","0","...","..."
"16.16 Sign language","20","20","x","36,000","20","x","36,000"
"16.17 Second language learning","335","205","46,000","47,600","200","46,000","48,000"
"16.18 Armenian languages, literatures, and linguistics","0","0","...","...","0","...","..."
"16.99 Indigenous and foreign languages, literatures and linguistics, other","50","30","59,200","60,000","30","59,200","60,000"
"23. English language and literature/letters","27,875","20,525","40,800","52,450","18,245","44,800","54,400"
"23.01 English language and literature, general","14,140","10,355","39,200","51,750","9,340","42,800","53,150"
"23.13 English rhetoric and composition/writing studies","2,095","1,795","39,600","46,680","1,560","42,400","49,480"
"23.14 English literature","11,635","8,365","43,600","54,600","7,340","47,600","57,050"
"23.99 English language and literature/letters, other","0","0","...","...","0","...","..."
"24. Liberal arts and sciences, general studies and humanities","11,295","8,550","36,400","53,750","7,690","39,200","54,000"
"24.01 Liberal arts and sciences, general studies and humanities","11,295","8,550","36,400","53,750","7,690","39,200","54,000"
"30A Interdisciplinary humanities","2,035","1,555","36,400","48,120","1,410","37,200","46,400"
"30.13 Medieval and renaissance studies","300","245","31,800","52,400","225","28,600","49,200"
"30.21 Holocaust and related studies","20","15","x","32,000","15","x","24,000"
"30.22 Classical and ancient studies","960","780","40,400","49,100","725","41,200","44,700"
"30.29 Maritime studies","85","80","109,000","92,000","75","101,000","88,000"
"30.45 History and language/literature","585","360","28,200","37,000","315","31,800","40,800"
"30.47 Linguistics and anthropology","0","0","...","...","0","...","..."
"30.51 Integrated philosophy, politics, and economics","25","25","x","19,000","15","x","28,000"
"30.52 Digital humanities and textual studies","40","30","25,000","36,000","30","x","36,000"
"30.53 Thanatology","0","0","...","...","0","...","..."
"38. Philosophy and religious studies","12,855","9,405","42,800","55,750","8,435","46,000","56,100"
"38.00 Philosophy and religious studies, general","245","170","42,800","52,000","160","53,200","55,200"
"38.01 Philosophy, logic and ethics","7,820","5,840","44,800","61,050","5,250","47,600","60,450"
"38.02 Religion/religious studies","4,730","3,340","38,800","46,680","2,975","43,200","48,400"
"38.99 Philosophy and religious studies, other","70","50","52,000","54,000","45","52,000","62,000"
"39. Theology and religious vocations","26,760","20,265","48,000","49,320","18,430","50,800","51,550"
"39.02 Bible/Biblical studies","525","425","49,600","51,000","390","50,400","52,400"
"39.03 Missions/missionary studies and missiology","105","85","38,800","42,000","70","41,600","50,000"
"39.04 Religious education","1,570","995","56,000","58,400","900","61,600","63,500"
"39.05 Religious music and worship","120","95","23,200","32,000","85","24,800","32,000"
"39.06 Theological and ministerial studies","22,500","17,265","47,600","49,080","15,805","50,400","51,040"
"39.07 Pastoral counselling and specialized ministries","1,465","1,050","49,200","48,900","885","54,800","53,400"
"39.08 Religious institution administration and law","130","75","19,400","20,000","65","24,800","23,000"
"39.99 Theology and religious vocations, other","350","275","47,600","47,200","235","49,600","48,400"
"54. History","18,360","13,890","51,600","61,900","12,770","54,800","62,900"
"54.01 History","18,360","13,890","51,600","61,900","12,770","54,800","62,900"
"55. French language and literature/lettersCAN","8,225","5,940","52,800","53,900","5,470","56,000","55,900"
"55.01 French language and literature, generalCAN","3,230","2,105","53,600","55,350","1,930","58,000","58,100"
"55.13 French rhetoric and composition/writing studiesCAN","125","100","56,000","54,000","85","61,200","59,000"
"55.14 French literatureCAN","4,870","3,740","52,000","53,100","3,450","54,800","54,600"
"55.99 French language and literature/letters, otherCAN","0","0","...","...","0","...","..."
"Social and behavioural sciences and law","240,475","194,325","57,600","72,100","173,200","60,400","72,700"
"05. Area, ethnic, cultural, gender, and group studies","6,305","5,255","53,600","57,000","4,840","56,000","59,250"
"05.01 Area studies","3,490","2,820","52,000","59,850","2,525","57,200","63,050"
"05.02 Ethnic, cultural minority, gender, and group studies","2,815","2,430","54,400","53,600","2,315","54,800","55,100"
"05.99 Area, ethnic, cultural, gender, and group studies, other","0","0","...","...","0","...","..."
"09. Communication, journalism and related programs","21,005","17,900","54,000","62,950","16,285","57,600","65,200"
"09.01 Communication and media studies","10,825","9,175","54,000","63,800","8,475","57,600","65,400"
"09.04 Journalism","4,940","4,090","56,800","65,300","3,600","62,400","69,400"
"09.07 Radio, television and digital communication","1,060","950","55,600","66,200","870","58,400","69,000"
"09.09 Public relations, advertising and applied communication","3,285","2,885","54,800","59,200","2,630","56,400","61,450"
"09.10 Publishing","450","410","53,200","61,600","360","53,600","62,200"
"09.99 Communication, journalism and related programs, other","445","390","34,000","39,000","350","34,400","41,400"
"19. Family and consumer sciences/human sciences","8,160","6,450","50,400","56,500","5,930","52,800","57,000"
"19.01 Family and consumer sciences/human sciences, general","805","510","40,400","44,200","470","41,600","46,600"
"19.02 Family and consumer sciences/human sciences business services","120","90","66,500","70,000","85","69,000","73,000"
"19.04 Family and consumer economics and related services","0","0","...","...","0","...","..."
"19.05 Foods, nutrition and related services","3,545","2,880","53,200","59,350","2,630","54,800","58,600"
"19.06 Housing and human environments","55","45","81,000","68,000","40","82,000","72,000"
"19.07 Human development, family studies and related services","2,780","2,275","52,800","56,500","2,115","56,800","57,350"
"19.09 Apparel and textiles","555","405","30,600","45,400","365","36,400","48,400"
"19.10 Work and family studies","190","145","52,400","62,000","140","52,400","62,000"
"19.99 Family and consumer sciences/human sciences, other","90","85","55,200","61,000","65","56,400","64,000"
"22. Legal professions and studies","36,215","29,890","66,500","107,000","25,630","67,500","99,300"
"22.00 Non-professional legal studies","555","500","72,000","77,200","445","72,000","72,400"
"22.01 Law (LLB, JD, BCL)","0","0","...","...","0","...","..."
"22.02 Legal research and advanced professional studies (post-LLB/JD)","35,425","29,195","66,500","107,700","25,020","67,000","99,900"
"22.03 Legal support services","200","155","52,400","68,000","135","74,000","73,000"
"22.99 Legal professions and studies, other","30","30","x","120,000","30","x","120,000"
"30B Interdisciplinary social and behavioural sciences","10,800","9,395","50,800","57,600","8,735","53,200","59,000"
"30.05 Peace studies and conflict resolution","1,680","1,505","64,000","71,200","1,390","66,000","74,000"
"30.11 Gerontology","590","440","45,600","54,400","395","48,000","54,800"
"30.14 Museology/museum studies","2,015","1,725","44,800","48,080","1,605","47,600","49,640"
"30.15 Science, technology and society","50","50","42,000","50,000","50","42,000","50,000"
"30.17 Behavioural sciences","275","185","43,200","52,400","150","51,600","60,000"
"30.20 International/globalization studies","1,565","1,425","51,600","56,350","1,355","53,600","57,150"
"30.23 Intercultural/multicultural and diversity studies","235","195","57,200","52,400","175","63,600","56,400"
"30.25 Cognitive science","190","160","40,000","54,000","150","42,800","56,000"
"30.26 Cultural studies/critical theory and analysis","900","795","36,800","44,300","750","37,200","43,400"
"30.28 Dispute resolution","390","355","60,800","62,200","315","71,500","65,500"
"30.31 Human computer interaction","170","155","64,000","67,000","150","64,000","65,000"
"30.33 Sustainability studies","1,855","1,695","56,800","62,350","1,585","58,000","62,950"
"30.34 Anthrozoology","0","0","...","...","0","...","..."
"30.36 Cultural studies and comparative literature","20","20","x","22,000","0","...","..."
"30.40 Economics and foreign language/literature","55","50","44,000","46,000","35","48,000","52,000"
"30.44 Geography and environmental studies","365","320","54,800","69,200","315","55,200","71,000"
"30.46 History and political science","425","325","36,400","55,800","295","38,800","55,200"
"42. Psychology","55,220","43,160","55,200","58,550","36,050","58,400","59,600"
"42.01 Psychology, general","28,575","21,215","52,400","58,700","17,030","55,200","59,350"
"42.27 Research and experimental psychology","1,635","1,220","47,200","57,600","1,085","50,800","59,900"
"42.28 Clinical, counselling and applied psychology","24,695","20,435","58,000","58,300","17,685","60,400","59,650"
"42.99 Psychology, other","315","285","68,500","68,500","250","79,500","69,500"
"45. Social sciences","102,765","82,285","58,800","72,400","75,725","62,000","75,100"
"45.01 General social sciences","2,720","2,100","46,800","56,900","1,890","52,000","61,050"
"45.02 Anthropology","5,045","4,085","48,800","55,000","3,735","52,800","57,400"
"45.03 Archaeology","1,675","1,430","46,400","53,000","1,340","47,600","54,800"
"45.04 Criminology","4,210","3,585","68,000","70,200","3,420","68,000","69,500"
"45.05 Demography","495","375","61,600","56,000","340","63,600","57,800"
"45.06 Economics","37,225","29,190","60,000","82,000","26,665","64,000","86,100"
"45.07 Geography and cartography","9,600","7,645","63,200","69,800","7,085","67,500","73,200"
"45.09 International relations and national security studies","8,365","7,270","70,000","81,100","6,840","72,000","82,900"
"45.10 Political science and government","20,895","16,975","59,600","71,500","15,540","62,800","72,800"
"45.11 Sociology","11,020","8,295","47,200","55,250","7,625","51,600","57,350"
"45.12 Urban studies/affairs","435","390","70,000","78,400","360","75,500","80,800"
"45.13 Sociology and anthropology","130","90","64,000","63,000","85","67,500","68,000"
"45.15 Geography and anthropology","25","25","x","40,000","25","x","40,000"
"45.99 Social sciences, other","920","825","45,200","51,000","780","49,200","52,700"
"Business, management and public administration","475,955","398,350","73,000","106,700","369,980","76,500","110,600"
"30.16 Accounting and computer science","115","100","44,400","67,000","95","48,800","69,000"
"44. Public administration and social service professions","68,335","55,495","73,000","74,800","51,610","74,500","76,700"
"44.00 Human services, general","1,855","1,250","71,500","67,800","1,150","73,500","71,200"
"44.02 Community organization and advocacy","70","50","55,200","64,000","50","54,800","64,000"
"44.04 Public administration","20,795","17,345","78,500","83,200","16,495","81,000","85,700"
"44.05 Public policy analysis","5,075","4,610","73,500","79,700","4,420","75,000","80,500"
"44.07 Social work","40,475","32,185","70,000","69,900","29,445","72,000","71,400"
"44.99 Public administration and social service professions, other","65","50","46,000","62,000","50","46,000","62,000"
"52. Business, management, marketing and related support services","407,495","342,750","73,000","111,900","318,270","77,000","116,100"
"52.01 Business/commerce, general","69,250","57,605","91,000","148,000","53,020","96,000","155,400"
"52.02 Business administration, management and operations","192,325","160,535","77,500","107,800","149,425","82,000","111,800"
"52.03 Accounting and related services","34,145","29,545","66,500","91,700","27,380","69,000","92,200"
"52.04 Business operations support and assistant services","495","380","60,000","67,200","355","60,400","69,600"
"52.05 Business/corporate communications","170","135","52,000","62,000","120","62,000","68,000"
"52.06 Business/managerial economics","3,545","2,965","71,000","124,400","2,745","75,500","131,200"
"52.07 Entrepreneurial and small business operations","1,335","1,150","56,000","69,000","1,060","59,200","71,600"
"52.08 Finance and financial management services","43,115","36,640","69,000","143,600","34,080","72,500","150,600"
"52.09 Hospitality administration/management","2,550","2,185","36,400","48,840","2,030","37,600","49,240"
"52.10 Human resources management and services","18,415","15,530","59,600","72,700","14,745","61,200","74,100"
"52.11 International business/trade/commerce","7,900","6,660","55,200","75,300","6,195","57,600","78,300"
"52.12 Management information systems and services","3,025","2,595","77,500","93,500","2,460","81,000","97,800"
"52.13 Management sciences and quantitative methods","3,245","2,740","76,500","90,900","2,605","77,500","93,500"
"52.14 Marketing","20,595","17,595","50,000","66,700","16,080","53,200","70,200"
"52.15 Real estate","830","665","75,000","113,400","590","76,000","118,800"
"52.16 Taxation","3,140","2,895","98,000","127,200","2,640","95,000","111,700"
"52.17 Insurance","260","220","47,600","58,000","210","51,200","58,400"
"52.18 General sales, merchandising and related marketing operations","770","655","50,400","77,800","610","53,600","78,800"
"52.19 Specialized sales, merchandising and marketing operations","1,015","845","34,800","42,700","770","36,400","44,300"
"52.20 Construction management","980","870","68,000","78,400","830","66,000","78,400"
"52.21 Telecommunications management","60","40","58,800","72,000","40","58,800","76,000"
"52.99 Business, management, marketing and related support services, other","335","300","62,800","162,000","285","67,000","166,000"
"Physical and life sciences and technologies","119,465","95,590","59,200","72,800","88,520","60,800","72,400"
"26. Biological and biomedical sciences","63,125","50,975","58,400","70,900","47,085","59,200","68,400"
"26.01 Biology, general","14,545","11,785","56,800","64,600","10,965","60,000","64,900"
"26.02 Biochemistry/biophysics and molecular biology","8,585","6,850","59,600","72,100","6,335","60,800","69,200"
"26.03 Botany/plant biology","2,660","1,970","40,000","48,080","1,700","44,000","51,080"
"26.04 Cell/cellular biology and anatomical sciences","1,785","1,475","61,200","68,800","1,385","59,600","65,500"
"26.05 Microbiological sciences and immunology","7,195","5,745","56,400","70,500","5,360","56,400","67,900"
"26.07 Zoology/animal biology","3,015","2,185","46,800","57,600","1,975","51,200","60,850"
"26.08 Genetics","2,005","1,565","63,600","78,700","1,450","62,800","74,400"
"26.09 Physiology, pathology and related sciences","4,590","3,675","66,500","84,600","3,290","65,500","78,900"
"26.10 Pharmacology and toxicology","2,840","2,385","68,000","81,300","2,190","69,000","80,100"
"26.11 Biomathematics, bioinformatics, and computational biology","1,265","1,085","59,200","64,000","1,025","60,000","64,000"
"26.12 Biotechnology","3,770","3,150","44,800","59,600","3,055","44,800","58,150"
"26.13 Ecology, evolution, systematics and population biology","7,345","6,260","72,500","89,800","5,745","70,500","80,800"
